时间戳,总价,单价,行为
2025-09-24 23:29:26,3528000,2352,价格过高
2025-09-24 23:29:26,3423000,2282,价格过高
2025-09-24 23:29:27,3528000,2352,价格过高
2025-09-24 23:29:27,3528000,2352,价格过高
2025-09-24 23:29:28,3528000,2352,价格过高
2025-09-24 23:29:28,3528000,2352,价格过高
2025-09-24 23:29:29,3528000,2352,价格过高
2025-09-24 23:29:29,3528000,2352,价格过高
2025-09-24 23:29:30,3528000,2352,价格过高
2025-09-24 23:30:01,3475500,2317,价格过高
2025-09-24 23:30:02,3475500,2317,价格过高
2025-09-24 23:30:02,3475500,2317,价格过高
2025-09-24 23:30:03,3475500,2317,价格过高
2025-09-24 23:30:03,3528000,2352,价格过高
2025-09-24 23:30:04,3528000,2352,价格过高
2025-09-24 23:30:04,3528000,2352,价格过高
2025-09-24 23:30:05,3423000,2282,价格过高
2025-09-24 23:30:05,3528000,2352,价格过高
2025-09-24 23:30:06,3528000,2352,价格过高
2025-09-24 23:30:06,3528000,2352,价格过高
2025-09-24 23:30:07,3528000,2352,价格过高
2025-09-24 23:30:07,3528000,2352,价格过高
2025-09-24 23:30:08,3528000,2352,价格过高
2025-09-24 23:30:08,3528000,2352,价格过高
2025-09-24 23:30:09,3475500,2317,价格过高
2025-09-24 23:30:09,3528000,2352,价格过高
2025-09-24 23:30:10,3528000,2352,价格过高
2025-09-24 23:30:10,3528000,2352,价格过高
2025-09-24 23:30:11,3528000,2352,价格过高
2025-09-24 23:30:11,3528000,2352,价格过高
2025-09-24 23:30:12,3528000,2352,价格过高
2025-09-24 23:30:12,3423000,2282,价格过高
2025-09-24 23:30:13,3475500,2317,价格过高
2025-09-24 23:30:13,3475500,2317,价格过高
2025-09-24 23:30:14,3528000,2352,价格过高
2025-09-24 23:30:14,3528000,2352,价格过高
2025-09-24 23:30:15,3528000,2352,价格过高
2025-09-24 23:30:15,3528000,2352,价格过高
2025-09-24 23:30:16,3528000,2352,价格过高
2025-09-24 23:30:16,3475500,2317,价格过高
2025-09-24 23:30:17,3475500,2317,价格过高
2025-09-24 23:30:17,3475500,2317,价格过高
2025-09-24 23:30:18,3475500,2317,价格过高
2025-09-24 23:30:18,3475500,2317,价格过高
2025-09-24 23:30:19,3528000,2352,价格过高
2025-09-24 23:30:19,3528000,2352,价格过高
2025-09-24 23:30:20,3528000,2352,价格过高
2025-09-24 23:30:20,3423000,2282,价格过高
2025-09-24 23:30:21,3423000,2282,价格过高
2025-09-24 23:30:21,3475500,2317,价格过高
2025-09-24 23:30:22,3528000,2352,价格过高
2025-09-24 23:30:22,3528000,2352,价格过高
2025-09-24 23:30:23,3528000,2352,价格过高
2025-09-24 23:30:23,3528000,2352,价格过高
2025-09-24 23:30:24,3423000,2282,价格过高
2025-09-24 23:30:24,3475500,2317,价格过高
2025-09-24 23:30:25,3528000,2352,价格过高
2025-09-24 23:30:25,3528000,2352,价格过高
2025-09-24 23:30:26,3528000,2352,价格过高
2025-09-24 23:30:26,3528000,2352,价格过高
2025-09-24 23:30:27,3528000,2352,价格过高
2025-09-24 23:30:27,3528000,2352,价格过高
2025-09-24 23:30:28,3423000,2282,价格过高
2025-09-24 23:30:28,3528800,2352,价格过高
2025-09-24 23:30:29,3528000,2352,价格过高
2025-09-24 23:30:29,3528000,2352,价格过高
2025-09-24 23:30:30,3528000,2352,价格过高
2025-09-24 23:30:30,3528000,2352,价格过高
2025-09-24 23:30:31,3528000,2352,价格过高
2025-09-24 23:30:31,3528000,2352,价格过高
2025-09-24 23:30:32,3423000,2282,价格过高
2025-09-24 23:30:32,3423000,2282,价格过高
2025-09-24 23:30:33,3423000,2282,价格过高
2025-09-24 23:30:33,3528000,2352,价格过高
2025-09-24 23:30:34,3528000,2352,价格过高
2025-09-24 23:30:34,3528000,2352,价格过高
2025-09-24 23:30:35,3528000,2352,价格过高
2025-09-24 23:30:35,3423000,2282,价格过高
2025-09-24 23:30:36,3475500,2317,价格过高
2025-09-24 23:30:36,3528000,2352,价格过高
2025-09-24 23:30:37,3528000,2352,价格过高
2025-09-24 23:30:37,3528000,2352,价格过高
2025-09-24 23:30:38,3528000,2352,价格过高
2025-09-24 23:30:38,3528000,2352,价格过高
2025-09-24 23:30:39,3528000,2352,价格过高
2025-09-24 23:30:39,3528000,2352,价格过高
2025-09-24 23:30:40,3528000,2352,价格过高
2025-09-24 23:30:40,3528000,2352,价格过高
2025-09-24 23:30:41,3528000,2352,价格过高
2025-09-24 23:30:42,3528000,2352,价格过高
2025-09-24 23:30:42,3528000,2352,价格过高
2025-09-24 23:30:43,3528000,2352,价格过高
2025-09-24 23:30:43,3528000,2352,价格过高
2025-09-24 23:30:44,3423000,2282,价格过高
2025-09-24 23:30:44,3475500,2317,价格过高
2025-09-24 23:30:45,3475500,2317,价格过高
2025-09-24 23:30:45,3475500,2317,价格过高
2025-09-24 23:30:46,3528000,2352,价格过高
2025-09-24 23:30:46,3528000,2352,价格过高
2025-09-24 23:30:47,3528000,2352,价格过高
2025-09-24 23:30:47,3423000,2282,价格过高
2025-09-24 23:30:48,3528000,2352,价格过高
2025-09-24 23:30:48,3528000,2352,价格过高
2025-09-24 23:30:49,3528000,2352,价格过高
2025-09-24 23:30:49,3528000,2352,价格过高
2025-09-24 23:30:50,3528000,2352,价格过高
2025-09-24 23:30:50,3528000,2352,价格过高
2025-09-24 23:30:51,3528000,2352,价格过高
2025-09-24 23:30:51,3528000,2352,价格过高
2025-09-24 23:30:52,3528000,2352,价格过高
2025-09-24 23:30:52,3528000,2352,价格过高
2025-09-24 23:30:53,3528000,2352,价格过高
2025-09-24 23:30:53,3528000,2352,价格过高
2025-09-24 23:30:54,3528000,2352,价格过高
2025-09-24 23:30:54,3528000,2352,价格过高
2025-09-24 23:30:55,3528000,2352,价格过高
2025-09-24 23:30:55,3475500,2317,价格过高
2025-09-24 23:30:56,3475500,2317,价格过高
2025-09-24 23:30:56,3475500,2317,价格过高
2025-09-24 23:30:57,3528000,2352,价格过高
2025-09-24 23:30:57,3528000,2352,价格过高
2025-09-24 23:30:58,3528000,2352,价格过高
2025-09-24 23:30:58,3528000,2352,价格过高
2025-09-24 23:30:59,3423000,2282,价格过高
2025-09-24 23:30:59,3528000,2352,价格过高
2025-09-24 23:31:00,3528000,2352,价格过高
2025-09-24 23:31:00,3528000,2352,价格过高
2025-09-24 23:31:01,3528000,2352,价格过高
2025-09-24 23:31:01,3528000,2352,价格过高
2025-09-24 23:31:02,3528000,2352,价格过高
2025-09-24 23:31:02,3528000,2352,价格过高
2025-09-24 23:31:03,3528000,2352,价格过高
2025-09-24 23:31:03,3528000,2352,价格过高
2025-09-24 23:31:04,3528000,2352,价格过高
2025-09-24 23:31:04,3528000,2352,价格过高
